CIVIL ITEMS,,
Product Name,Description,Quantity
Mat Chape,"Mat Chape is a premium-grade, cement-based flooring mortar engineered to provide a robust, level foundation for all types of interior and exterior floor finishes. Formulated with high-strength Portland cement, graded silica sands, and specialized synthetic additives, it ensures excellent workability and long-term durability.",1 Bundle (3/75’)
Civil Wire Mesh,"Civil wire mesh is a fundamental reinforcement material used across modern infrastructure projects to provide structural integrity, crack control, and soil stabilization. Manufactured from high-quality cold-drawn steel wire, this mesh is precision-welded at every intersection to create a robust, grid-like fabric that excels in high-stress environments.",1kg
,,2kg
,,3kg
,,4kg
CEMENTS,,
UltraTech ,"UltraTech Cement is the flagship brand of Aditya Birla Group and stands as India's largest manufacturer of grey cement and ready-mix concrete. Known for its superior reliability and versatility, it is the go-to choice for everything from massive infrastructure projects to individual home builds.",50Kg
ACC Suraksha,"ACC Suraksha is a premium, high-performance cement engineered primarily for residential construction. It is a Portland Pozzolana Cement (PPC) that utilizes advanced Particle Size Distribution (PSD) technology to create denser concrete, making it a popular choice for homeowners looking for long-term durability and protection against environmental wear.",50Kg
Priya,"Priya Cement, manufactured by Rain Cements Limited (RCL), is one of South India's most recognized and trusted cement brands. Known for its tagline ""Fast and Strong, Lasts Long,"" the brand leverages state-of-the-art Danish technology (F.L. Smidth) to produce high-performance cement suitable for everything from independent homes to massive infrastructure projects.",50Kg
Ramco,"Ramco Cements Limited is one of India’s most prestigious and technologically advanced cement manufacturers. Known for its ""Right Products for Right Applications"" philosophy, Ramco focuses on delivering high-performance, durable solutions for everything from small residential homes to massive infrastructure projects.",50Kg
