image_name,image_url
Ball Valve.jpg,https://drive.google.com/uc?export=view&id=1vmaf9jMKGWkEsibudPDepyknWOrDwFyG
CPVC Clamp.jpg,https://drive.google.com/uc?export=view&id=1lJSCM_DbMxKd8VfSyu773IzELc4-hWLg
CPVC Reducing Elbow 90°.jpg,https://drive.google.com/uc?export=view&id=1y2q8BmAcO0hPSS_GoO9b-1VZSgxVnEhN
CPVC Solvent Cement.jpg,https://drive.google.com/uc?export=view&id=1OTNDaZq-wO2Y_j4gdMufaS7xczn6Ex3b
CPVC Union.jpg,https://drive.google.com/uc?export=view&id=1BVEdGiWp5YfBqlQAWWa6kA7uZbrWbcSs
Cross Tee (CPVC).jpg,https://drive.google.com/uc?export=view&id=1lGXmm1V62_adxOk3Ygb52jwdJsSvlwKE
Elbow 90° (Brass).jpg,https://drive.google.com/uc?export=view&id=1WBKKchKwITAM004ZmILBVKaVV5rkPG0C
Elbow 90°.jpg,https://drive.google.com/uc?export=view&id=1uOm-PYRgEETMjPJooQshEis9VpH0p2dO
FABT (Brass).jpg,https://drive.google.com/uc?export=view&id=1jB1JaMsi9oLuTSXwxQk21MPWiYV8eyNm
FAPT (Female Adapter Plastic Thread).jpg,https://drive.google.com/uc?export=view&id=1WydRqFzmR0wQFLcxlgwt54O_sG40rdB0
MABT (Brass).jpg,https://drive.google.com/uc?export=view&id=12WzlZQjKP2-hYAF1KYppUZBALP8sTmMr
Powder Coated Metal Clamp.jpg,https://drive.google.com/uc?export=view&id=1vVbQx3ruScc2s-1_DYQAwStwAOChkJRc
Reducer Tee.jpg,https://drive.google.com/uc?export=view&id=1EvxB2BdQmgYlA_f74uKtdxvzwPjkVorv
Reducing FABT (Brass).jpg,https://drive.google.com/uc?export=view&id=1IDbfv-ZwniOLSnmVZNN_v__ny6_sQtdX
Reducing MABT (Brass).jpg,https://drive.google.com/uc?export=view&id=1Hh-X8zfoSfAHXi04XAmFfs_znpzzqun0
RF – Plain Door Bend.jpg,https://drive.google.com/uc?export=view&id=1bQfeG9hoG3GwPplcORQxXphsrOCvcD3m
RF – Reducing Door Tee (CPVC).jpg,https://drive.google.com/uc?export=view&id=1WcXzWKIpVp5Rus3f4GYDmbotH0Nyqp-V
RF Cleaning Pipe.jpg,https://drive.google.com/uc?export=view&id=1OJs2a1KCOd8IjpiciKDeidS48Ug4ePkH
RF Door Y.jpg,https://drive.google.com/uc?export=view&id=1jjInO51oen5wfXefX8ir0RnuB8tGzEbz
Tank Nipple.jpg,https://drive.google.com/uc?export=view&id=1oRrXv7NnXk5Npu9-NiBxwneSnwZJhZq3
Tee (Brass).jpg,https://drive.google.com/uc?export=view&id=1X-8uWEyL9_WMxG7g3IGnfifVsspeHA1d
TEE.jpg,https://drive.google.com/uc?export=view&id=17n3uhcJyAYU7h_qMONrWyUW-BFdQD8NO
Threaded End Plug.jpg,https://drive.google.com/uc?export=view&id=1i3bnSB1w8NjX5xPCDi7IndwgvKyYWJgX
